# file...... IEEE_13_house_passiveDR_transformer_power.csv
# date...... Thu Jun 11 17:40:01 2020
# user...... User
# host...... (null)
# target.... transformer 27
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag,power_losses_A.real,power_losses_A.imag
2000-08-01 01:24:00 PDT,+100858,-47824.6,+104081,-46728.7,+66918.8,-49268.3,+100858,-47830.1,+104080,-46734.4,+66918.4,-49271.3,+0.827334,+5.48723
2000-08-01 01:25:00 PDT,+102482,-47274.7,+102938,-47044.7,+67502.4,-49073.6,+102481,-47280.3,+102937,-47050.3,+67501.9,-49076.7,+0.845677,+5.60951
2000-08-01 01:26:00 PDT,+101132,-47685.4,+104022,-46656.5,+67020.5,-49174.1,+101131,-47690.9,+104021,-46662.3,+67020,-49177.1,+0.830108,+5.50572
2000-08-01 01:27:00 PDT,+99800.7,-48039.9,+98665.6,-47014.1,+67058.6,-49123.7,+99799.9,-48045.3,+98664.9,-47019.4,+67058.2,-49126.7,+0.814689,+5.40293
2000-08-01 01:28:00 PDT,+104497,-47877,+97943.2,-47204.8,+66459.2,-49300.6,+104496,-47882.9,+97942.4,-47210,+66458.8,-49303.6,+0.876976,+5.81817
2000-08-01 01:29:00 PDT,+103944,-48017.5,+96521.8,-47600.5,+67623.4,-48897.7,+103943,-48023.3,+96521,-47605.6,+67623,-48900.8,+0.870265,+5.77343
2000-08-01 01:30:00 PDT,+103360,-48128,+96504.7,-47555.2,+67036.7,-49061.7,+103359,-48133.7,+96503.9,-47560.3,+67036.2,-49064.7,+0.862969,+5.7248
2000-08-01 01:31:00 PDT,+103921,-47935.2,+97421.7,-47225.3,+67258.3,-48970.7,+103920,-47940.9,+97421,-47230.4,+67257.9,-48973.8,+0.869422,+5.76781
2000-08-01 01:32:00 PDT,+104989,-47511.2,+98279.9,-46934.4,+68416.4,-48579.5,+104989,-47517,+98279.1,-46939.6,+68415.9,-48582.6,+0.881487,+5.84825
2000-08-01 01:33:00 PDT,+105634,-47269.1,+97580.7,-47105.8,+67736,-48749,+105633,-47275,+97579.9,-47111,+67735.6,-48752.1,+0.888937,+5.89791
2000-08-01 01:34:00 PDT,+105084,-47401,+105770,-47051.6,+66778.4,-49041.6,+105083,-47406.8,+105769,-47057.5,+66777.9,-49044.6,+0.882112,+5.85241
2000-08-01 01:35:00 PDT,+106620,-46831.3,+106198,-46888,+66884.4,-48989.7,+106619,-46837.3,+106197,-46893.9,+66883.9,-48992.7,+0.90002,+5.9718
2000-08-01 01:36:00 PDT,+100686,-47297.6,+105225,-47132.9,+66794.8,-49011.1,+100685,-47303,+105224,-47138.7,+66794.3,-49014.1,+0.82173,+5.44986
2000-08-01 01:37:00 PDT,+104309,-47414,+103857,-47558.6,+66107.7,-49172.4,+104308,-47419.8,+103856,-47564.4,+66107.3,-49175.4,+0.871472,+5.78148
2000-08-01 01:38:00 PDT,+110137,-46669,+103877,-47551.8,+67048.3,-48894.7,+110136,-46675.3,+103876,-47557.6,+67047.8,-48897.7,+0.949333,+6.30055
2000-08-01 01:39:00 PDT,+109750,-46711,+104624,-47257.6,+67257,-48800.3,+109749,-46717.3,+104623,-47263.4,+67256.5,-48803.3,+0.943984,+6.26489
2000-08-01 01:40:00 PDT,+112051,-47106.7,+104018,-47417.2,+67973.2,-48566,+112050,-47113.2,+104017,-47422.9,+67972.8,-48569.1,+0.980121,+6.5058
2000-08-01 01:41:00 PDT,+111369,-47262.3,+98545,-47821.7,+67738.1,-48609,+111368,-47268.8,+98544.2,-47827,+67737.6,-48612.1,+0.971031,+6.44521
2000-08-01 01:42:00 PDT,+111201,-47278.1,+94662,-47729.2,+66698.7,-48891.5,+111200,-47284.5,+94661.3,-47734.2,+66698.3,-48894.5,+0.968653,+6.42935
2000-08-01 01:43:00 PDT,+111516,-47183.7,+95377.2,-47490.5,+66615.5,-48895,+111515,-47190.1,+95376.5,-47495.5,+66615.1,-48898,+0.9727,+6.45634
2000-08-01 01:44:00 PDT,+106882,-47439.9,+101676,-46820.7,+65869.8,-49097.3,+106881,-47445.9,+101675,-46826.3,+65869.4,-49100.2,+0.907502,+6.02168
2000-08-01 01:45:00 PDT,+101677,-47766,+101837,-46741.1,+65970.7,-49063.5,+101676,-47771.6,+101836,-46746.7,+65970.3,-49066.5,+0.837904,+5.55769
2000-08-01 01:46:00 PDT,+98125,-47721.7,+101280,-46837.3,+65554.1,-49189,+98124.2,-47727,+101279,-46842.7,+65553.6,-49192,+0.790788,+5.24359
2000-08-01 01:47:00 PDT,+98015.6,-47765.8,+101903,-46600.1,+65982.8,-49056.7,+98014.8,-47771.1,+101902,-46605.7,+65982.3,-49059.6,+0.78965,+5.236
2000-08-01 01:48:00 PDT,+97949,-47771.1,+101241,-46794.3,+66674.1,-48825.7,+97948.2,-47776.3,+101241,-46799.8,+66673.6,-48828.7,+0.788821,+5.23047
2000-08-01 01:49:00 PDT,+97182.6,-47997.6,+99481.5,-47335.4,+66302.3,-48921.8,+97181.8,-48002.8,+99480.7,-47340.7,+66301.8,-48924.7,+0.780383,+5.17422
2000-08-01 01:50:00 PDT,+98069.4,-47681,+97266.9,-48005.9,+65961.2,-48988.2,+98068.6,-47686.2,+97266.1,-48011.1,+65960.7,-48991.2,+0.789811,+5.23707
2000-08-01 01:51:00 PDT,+97890.4,-47673.5,+93807.1,-47728.9,+66549.1,-48774.1,+97889.6,-47678.7,+93806.4,-47733.7,+66548.6,-48777.1,+0.78745,+5.22133
2000-08-01 01:52:00 PDT,+97373.2,-47776.8,+92996.4,-47954,+65427.5,-49102.2,+97372.4,-47782,+92995.6,-47958.9,+65427,-49105.2,+0.781435,+5.18123
2000-08-01 01:53:00 PDT,+101723,-47851.4,+93021.4,-47934,+65191.7,-49143.8,+101723,-47857,+93020.6,-47938.8,+65191.3,-49146.8,+0.839069,+5.56546
2000-08-01 01:54:00 PDT,+102850,-47484.5,+93956.2,-47602.9,+65146.9,-49149.9,+102849,-47490.1,+93955.4,-47607.8,+65146.4,-49152.8,+0.851965,+5.65143
2000-08-01 01:55:00 PDT,+102451,-47597,+97976.6,-47695.7,+64865,-49229.5,+102450,-47602.6,+97975.9,-47700.9,+64864.6,-49232.4,+0.847273,+5.62015
2000-08-01 01:56:00 PDT,+102660,-47489.8,+97432.8,-47842.9,+64789.9,-49228.4,+102659,-47495.4,+97432,-47848.1,+64789.5,-49231.4,+0.849424,+5.63449
2000-08-01 01:57:00 PDT,+97407.9,-47595.6,+97107.7,-47896,+65283.1,-49056.6,+97407.1,-47600.7,+97107,-47901.2,+65282.7,-49059.6,+0.78074,+5.1766
2000-08-01 01:58:00 PDT,+97048.6,-47671.4,+97713.3,-47664.2,+65183.2,-49058.6,+97047.9,-47676.5,+97712.5,-47669.5,+65182.8,-49061.5,+0.776606,+5.14904
2000-08-01 01:59:00 PDT,+97290.9,-47560.9,+93316.5,-47673.4,+65909.2,-48822.7,+97290.1,-47566,+93315.8,-47678.2,+65908.8,-48825.7,+0.779019,+5.16513
2000-08-01 02:00:00 PDT,+95408.9,-48073.3,+91929.5,-47969,+65079.1,-49019.8,+95408.2,-48078.3,+91928.8,-47973.7,+65078.7,-49022.8,+0.758318,+5.02712
2000-08-01 02:01:00 PDT,+94213.1,-48450.2,+92608.5,-47734.3,+65585.5,-48843.1,+94212.3,-48455.2,+92607.8,-47739.1,+65585,-48846.1,+0.745753,+4.94335
2000-08-01 02:02:00 PDT,+100753,-47751.6,+92999.4,-47631.1,+66044.6,-48691.9,+100752,-47757.1,+92998.7,-47635.9,+66044.1,-48694.9,+0.825473,+5.47482
2000-08-01 02:03:00 PDT,+101449,-47517.4,+93806,-47361.7,+64628.2,-49131.2,+101448,-47522.9,+93805.3,-47366.5,+64627.8,-49134.1,+0.833283,+5.52688
